year,quarter,absolute_quarter,risk_free_rate,cpi_index
2020,1,8081,3.049,103.6
2020,2,8082,2.966,102.64
2020,3,8083,2.458,103.02
2020,4,8084,2.304,103.45
2021,1,8085,2.313,104.56
2021,2,8086,2.153,104.86
2021,3,8087,2.116,105.14
2021,4,8088,2.163,105.08
2022,1,8089,3.103,107.08
2022,2,8090,3.632,108.42
2022,3,8091,5.194,109.29
2022,4,8092,4.639,109.95
2023,1,8093,3.363,110.67
2023,2,8094,2.561,110.59
2023,3,8095,3.067,113.28
2023,4,8096,2.422,113.79
2024,1,8097,2.9,115.06
2024,2,8098,2.893,115.39
2024,3,8099,2.798,116.27
2024,4,8100,3.107,117.14
2025,1,8101,3.196,118.66
2025,2,8102,3.448,119.5
2025,3,8103,3.954,120.2
2025,4,8104,4.178,104.28
2026,1,8105,4.361,106.82
